run_name,env_name,config_name,split_id,split_seed,train_seed,total_timesteps,n_envs,rollout_size,vecnormalize,train_idx,test_idx,train_success_rate,train_avg_return,train_std_return,train_avg_steps,train_avg_first_success_step,train_episodes,test_success_rate,test_avg_return,test_std_return,test_avg_steps,test_avg_first_success_step,test_episodes,success_gap,return_gap,model_path,vecnormalize_path,tensorboard_dir
ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,push-v3,base_push,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.9111111111111111,224.7733393119526,369.8074068425143,90.2,50.21951219512195,45,1.0,153.12267304109324,15.481159824786982,39.8,39.8,25,-0.0888888888888889,71.65066627085938,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000,push-v3,base_push,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.7111111111111111,286.25261789184856,531.3747702226208,178.57777777777778,48.0,45,0.8,568.5063820889815,795.0256765270767,135.6,44.5,25,-0.0888888888888889,-282.2537641971329,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_base_push_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000,push-v3,base_push,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.8888888888888888,275.40863234286536,401.70060150968345,101.4,51.575,45,1.0,159.55760575334355,23.022183989739435,36.8,36.8,25,-0.11111111111111116,115.85102658952181,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_base_push_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000,push-v3,careful_push,0,67,11,6000000,4,4096,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.9777777777777777,178.90581577297868,89.08600494398856,48.31111111111111,38.04545454545455,45,1.0,159.83644749535827,28.207887072799892,37.0,37.0,25,-0.022222222222222254,19.069368277620413,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_careful_push_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000,push-v3,careful_push,1,68,11,6000000,4,4096,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",1.0,172.5067086549306,36.620878955489545,37.91111111111111,37.91111111111111,45,1.0,164.82887159932073,25.343900917308034,37.8,37.8,25,0.0,7.677837055609871,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_careful_push_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000,push-v3,careful_push,2,75,11,6000000,4,4096,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.9777777777777777,173.34903387886035,39.308916239915256,48.55555555555556,38.29545454545455,45,1.0,149.48794514725793,32.28433557498402,34.8,34.8,25,-0.022222222222222254,23.861088731602422,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_careful_push_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000,push-v3,short_rollout_push,0,67,11,6000000,4,2048,True,"[25, 35, 21, 19, 32, 48, 10, 31, 23, 34, 37, 0, 22, 38, 39, 28, 26, 46, 33, 49, 3, 29, 5, 18, 2, 8, 7, 13, 42, 11, 12, 6, 36, 24, 14, 45, 47, 44, 4, 15, 27, 9, 1, 30, 41]","[43, 16, 20, 17, 40]",0.4888888888888889,205.1828714800833,166.94354386734685,287.1333333333333,64.5909090909091,45,0.8,168.87926755481078,68.58226276334837,138.8,48.5,25,-0.31111111111111117,36.30360392527251,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_short_rollout_push_split0_splitseed67_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000,push-v3,short_rollout_push,1,68,11,6000000,4,2048,True,"[24, 9, 25, 43, 16, 12, 26, 1, 5, 19, 7, 33, 47, 38, 3, 39, 32, 6, 23, 44, 13, 34, 21, 46, 27, 22, 18, 40, 36, 48, 49, 45, 20, 31, 30, 10, 29, 8, 4, 28, 17, 2, 14, 15, 35]","[41, 37, 0, 42, 11]",0.4666666666666667,1031.6002760471476,1349.7309503499146,304.4222222222222,80.9047619047619,45,0.4,231.7258101512672,232.7079120051237,329.0,72.5,25,0.06666666666666665,799.8744658958805,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000\ppo_push-v3_short_rollout_push_split1_splitseed68_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000,push-v3,short_rollout_push,2,75,11,6000000,4,2048,True,"[47, 20, 31, 8, 46, 13, 6, 30, 1, 7, 45, 22, 43, 9, 39, 23, 27, 3, 18, 2, 25, 16, 44, 36, 4, 34, 41, 11, 29, 10, 19, 26, 15, 12, 38, 21, 35, 37, 14, 33, 40, 49, 0, 42, 17]","[48, 24, 32, 28, 5]",0.4666666666666667,175.52025667770113,128.29579518232674,307.0444444444444,86.52380952380952,45,0.4,116.25752642391251,78.96001890328904,318.2,45.5,25,0.06666666666666665,59.26273025378862,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000_final.zip,push_v3_ppo_split_runs\models\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000\ppo_push-v3_short_rollout_push_split2_splitseed75_trainseed11_6000000_vecnormalize.pkl,push_v3_ppo_split_runs\tensorboard
