config,split_id,split_seed,group,task_local_idx,episode,success,return,steps,first_success_step,run_name,train_seed,total_timesteps,model_path
base_pick,0,67,train,16,0,1.0,43.82266305482817,39,39,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,17,0,1.0,74.53497456441659,46,46,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,18,0,1.0,77.60937068096482,49,49,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,19,0,1.0,43.91202431262438,38,38,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,20,0,1.0,59.57140639021977,48,48,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,21,0,1.0,37.908468422683185,35,35,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,22,0,1.0,29.9493444948207,36,36,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,23,0,1.0,17.937833728793485,36,36,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,24,0,1.0,6.016068456937827,42,42,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
base_pick,0,67,train,25,0,0.0,5.5910647843884975,500,nan,ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000,11,6000000,pick-place_v3_ppo_split_runs\models\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000\ppo_pick-place-v3_base_pick_split0_splitseed67_trainseed11_6000000_final.zip
