env_name,config_name,mean_train_success,mean_test_success,std_test_success,runs
pick-place-v3,light_entropy_pick,0.9555555555555556,1.0,0.0,3
pick-place-v3,careful_pick,0.9925925925925926,0.9333333333333332,0.11547005383792512,3
pick-place-v3,base_pick,0.837037037037037,0.7333333333333334,0.30550504633038933,3
pick-place-v3,short_rollout_pick,0.08888888888888886,0.0,0.0,3
push-v3,careful_push,0.985185185185185,1.0,0.0,3
push-v3,base_push,0.837037037037037,0.9333333333333332,0.11547005383792512,3
push-v3,short_rollout_push,0.4740740740740741,0.5333333333333333,0.23094010767585035,3
